age,female,sex,race,subgroup_id,riskfactor,N,Mean,se,LowerCLMean,UpperCLMean,sigma_u_wgt,var,riagendr,meandaych,dayse,effect1,effect2,effect3,effect1se,effect2se,effect3se,Mean_alt,Mean_alt2,Mean_alt3,Mean_alt_se1,Mean_alt_se2,Mean_alt_se3,overweight_rate,overweight_rate_se,hbp,hbp_se,highSBP_RATE,highSBP_RATE_se
4,0,2,4,28,GLwheat,200,27.929365,0.492983,4.51356,4.84632,7.2677651422,rfg,1,-5.389503228,0.2892047643,-1.88632613,-1.347375807,-2.694751614,0.1012216675,0.0723011911,0.1446023822,27.532279581,27.645732666,27.362099953,0.5137532191,0.5137532191,0.5137532191,55.1920,4.5590,36.8409,3.9396,73.0755,4.9297
4,0,2,4,28,addsug,200,43.294289,2.820603,8.95555,11.66078,21.931380905,add,1,-2.304777382,0.187656049,-0.806672084,-0.576194345,-1.152388691,0.0656796172,0.0469140123,0.0938280245,42.487617111,42.71809485,42.141900504,2.822163371,2.822163371,2.822163371,55.1920,4.5590,36.8409,3.9396,73.0755,4.9297
4,0,2,4,28,rfg,200,132.676343,2.341880,4.51356,4.84632,34.524970095,rfg,1,-5.389503228,0.2892047643,-1.88632613,-1.347375807,-2.694751614,0.1012216675,0.0723011911,0.1446023822,130.79001737,131.32896769,129.98159188,2.3463400013,2.3463400013,2.3463400013,55.1920,4.5590,36.8409,3.9396,73.0755,4.9297
4,0,2,4,28,sodium,200,2976.444735,84.952678,2805.34126,3147.54821,613.78919246,sod,1,-122.7955562,8.0648229946,-42.97844467,-30.69888905,-61.39777811,2.8226880481,2.0162057486,4.0324114973,2933.46629,2945.7458456,2915.0469566,85.048326714,85.048326714,85.048326714,55.1920,4.5590,36.8409,3.9396,73.0755,4.9297
4,0,2,4,28,wg,200,28.470313,2.086363,0.85602,1.15247,17.829272876,wg,1,5.3895032283,0.2892047643,1.8863261299,1.3473758071,2.6947516141,0.1012216675,0.0723011911,0.1446023822,30.356639168,29.817688845,31.165064652,2.0913678412,2.0913678412,2.0913678412,55.1920,4.5590,36.8409,3.9396,73.0755,4.9297
4,0,2,4,28,GLrice,200,5.226121,0.092247,4.51356,4.84632,1.359938572,rfg,1,-5.389503228,0.2892047643,-1.88632613,-1.347375807,-2.694751614,0.1012216675,0.0723011911,0.1446023822,5.1518187841,5.1730480373,5.1199749043,0.1715205334,0.1715205334,0.1715205334,55.1920,4.5590,36.8409,3.9396,73.0755,4.9297
4,1,1,1,29,GLwheat,449,35.591728,0.630015,5.75125,6.17650,9.3822933641,rfg,2,-4.519442718,0.2410083999,-1.581804951,-1.129860679,-2.259721359,0.0843529399,0.0602521,0.1205041999,35.258746652,35.353884311,35.116040164,0.6414355329,0.6414355329,0.6414355329,77.4107,2.4828,41.3477,2.4496,73.6303,2.8967
4,1,1,1,29,addsug,449,80.179180,2.784763,17.75485,20.42571,46.189613102,add,2,-1.920248095,0.1559372405,-0.672086833,-0.480062024,-0.960124048,0.0545780342,0.0389843101,0.0779686202,79.507093315,79.699118124,79.2190561,2.785854292,2.785854292,2.785854292,77.4107,2.4828,41.3477,2.4496,73.6303,2.8967
4,1,1,1,29,rfg,449,169.075821,2.992836,5.75125,6.17650,44.569876912,rfg,2,-4.519442718,0.2410083999,-1.581804951,-1.129860679,-2.259721359,0.0843529399,0.0602521,0.1205041999,167.49401637,167.94596065,166.81609997,2.9952614199,2.9952614199,2.9952614199,77.4107,2.4828,41.3477,2.4496,73.6303,2.8967
4,1,1,1,29,sodium,449,4051.481797,47.667413,3955.47470,4147.48889,726.11052553,sod,2,-103.4824467,6.7033608833,-36.21885635,-25.87061168,-51.74122336,2.3461763091,1.6758402208,3.3516804416,4015.2629407,4025.6111854,3999.7405737,47.785102252,47.785102252,47.785102252,77.4107,2.4828,41.3477,2.4496,73.6303,2.8967
4,1,1,1,29,wg,449,30.063117,0.964118,0.99193,1.12892,18.013670762,wg,2,4.5194427178,0.2410083999,1.5818049512,1.1298606794,2.2597213589,0.0843529399,0.0602521,0.1205041999,31.64492153,31.192977258,32.322837937,0.9716199476,0.9716199476,0.9716199476,77.4107,2.4828,41.3477,2.4496,73.6303,2.8967
4,1,1,1,29,GLrice,449,6.659897,0.117888,5.75125,6.17650,1.7556074516,rfg,2,-4.519442718,0.2410083999,-1.581804951,-1.129860679,-2.259721359,0.0843529399,0.0602521,0.1205041999,6.597589305,6.6153913899,6.5708861777,0.1685787699,0.1685787699,0.1685787699,77.4107,2.4828,41.3477,2.4496,73.6303,2.8967
4,1,1,2,30,GLwheat,343,33.712298,0.860869,5.35842,5.93948,9.1454884597,rfg,2,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,33.088505092,33.266731562,32.821165387,0.8862681698,0.8862681698,0.8862681698,73.5074,2.1883,61.3506,3.0672,84.4077,2.1460
4,1,1,2,30,addsug,343,79.761669,2.614251,17.73721,20.24453,37.454080364,add,2,-3.221422542,0.2554139697,-1.12749789,-0.805355636,-1.610711271,0.0893948894,0.0638534924,0.1277069848,78.634171537,78.956313791,78.150958156,2.6173687568,2.6173687568,2.6173687568,73.5074,2.1883,61.3506,3.0672,84.4077,2.1460
4,1,1,2,30,rfg,343,160.147727,4.089492,5.35842,5.93948,43.444953076,rfg,2,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,157.18444755,158.03109895,155.91447044,4.0949141071,4.0949141071,4.0949141071,73.5074,2.1883,61.3506,3.0672,84.4077,2.1460
4,1,1,2,30,sodium,343,3730.711724,64.328165,3601.14815,3860.27530,833.88819078,sod,2,-209.2665821,11.047651898,-73.24330374,-52.31664553,-104.6332911,3.8666781644,2.7619129746,5.5238259492,3657.4684201,3678.3950783,3626.0784328,64.564893182,64.564893182,64.564893182,73.5074,2.1883,61.3506,3.0672,84.4077,2.1460
4,1,1,2,30,wg,343,23.806503,0.766929,0.78525,0.89422,15.967056747,wg,2,8.4665140386,0.421313497,2.9632799135,2.1166285097,4.2332570193,0.147459724,0.1053283743,0.2106567485,26.769782509,25.923131105,28.039759615,0.7953337322,0.7953337322,0.7953337322,73.5074,2.1883,61.3506,3.0672,84.4077,2.1460
4,1,1,2,30,GLrice,343,6.308219,0.161085,5.35842,5.93948,1.7112967017,rfg,2,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,6.1914953889,6.2248449877,6.1414709907,0.2651879948,0.2651879948,0.2651879948,73.5074,2.1883,61.3506,3.0672,84.4077,2.1460
4,1,1,3,31,GLwheat,371,42.654054,0.652287,6.92712,7.36740,10.378891296,rfg,2,-7.974535359,0.399735629,-2.791087376,-1.99363384,-3.987267679,0.1399074702,0.0999339073,0.1998678145,42.066508823,42.234378773,41.814703898,0.6822212186,0.6822212186,0.6822212186,88.0370,1.9339,47.4461,3.0841,78.7983,2.4758
4,1,1,3,31,addsug,371,65.159189,1.875320,14.61479,16.41340,28.344428057,add,2,-3.096634116,0.2457566425,-1.083821941,-0.774158529,-1.548317058,0.0860148249,0.0614391606,0.1228783213,64.075367249,64.385030661,63.610872132,1.87934132,1.87934132,1.87934132,88.0370,1.9339,47.4461,3.0841,78.7983,2.4758
